step,stopping_distance,Radar_distance,speed,steer,gps_x,gps_y,actual_x,actual_y,time,risk_time
102,0.9067507270660934,5.2411766,3.527126305556239,0.006684136798477267,235.98730468302924,28.851552533753026,235.36822509324125,10.252447217281603,0.2502257823944092,0.00034332275390625
103,0.8835866236038903,5.1939836,3.481782370546065,0.0065517212491305685,235.9846801713506,28.67740831936892,235.36822509324125,10.252447217281603,0.2461247444152832,0.00038909912109375
104,0.880019143151543,5.5680237,3.4747464143501423,0.0033668780328696313,235.9821472123868,28.50425786845701,235.36822509324125,10.252447217281603,0.24362540245056152,0.0003268718719482422
105,0.8679771303093643,5.368493,3.450890642695662,0.003513965208008472,235.97962951214396,28.33172732489628,235.36822509324125,10.252447217281603,0.25269055366516113,0.0003199577331542969
106,0.818119159148122,5.625984,3.3503126516061505,0.0032069178484200873,235.9770812943295,28.16299637046491,235.36822509324125,10.252447217281603,0.24397993087768555,0.00048041343688964844
107,0.7326282907541383,5.4909806,3.1704353248642017,0.0040591067959204995,235.97483825236102,28.002228917173948,235.36822509324125,10.252447217281603,0.2439877986907959,0.00031304359436035156
108,0.6251719242833593,5.8986435,2.928712823266851,0.005010775077088686,235.9707794144268,27.71677106615455,235.36822509324125,10.252447217281603,0.2559828758239746,0.000308990478515625
109,0.5166612418316004,5.8986435,2.6624410299440546,0.004577259175918438,235.9707794144268,27.71677106615455,235.36822509324125,10.252447217281603,0.2488548755645752,0.00034236907958984375
110,0.43185085669922474,4.980626,2.434131005906084,0.001610236858432208,235.96891784216848,27.59300576916128,235.36822509324125,10.252447217281603,0.24152278900146484,0.0003333091735839844
111,0.39262805368241127,5.0338955,2.3209603392825744,0.0022314240650158656,235.9670867874818,27.47657453271792,235.36822509324125,10.252447217281603,0.24496793746948242,0.0003173351287841797
112,0.3863265758368514,5.215446,2.302259894208645,0.00227732673078789,235.96528625036674,27.361770325656334,235.36822509324125,10.252447217281603,0.252683162689209,0.00031280517578125
113,0.396464675562261,5.0377316,2.332272571702163,0.00011703513164479124,235.9636535599605,27.245657622171148,235.36822509324125,10.252447217281603,0.24448537826538086,0.00032591819763183594
114,0.417979071679271,5.2254996,2.394717700155824,0.0002512151465270762,235.9618682816961,27.12650637820881,235.36822509324125,10.252447217281603,0.2478022575378418,0.00030732154846191406
115,0.4470681031523146,5.290648,2.476645791236558,0.002200323936995074,235.9600524857304,27.00329613532857,235.36822509324125,10.252447217281603,0.2526383399963379,0.0004744529724121094
116,0.4819179918235776,5.2499547,2.5713643942116575,-9.856595564966222e-05,235.95828246618694,26.875405062445594,235.36822509324125,10.252447217281603,0.24561071395874023,0.00031876564025878906
117,0.5213480897661869,5.0619845,2.6744898189359563,-0.0011588750360285944,235.9564361527793,26.74244023063213,235.36822509324125,10.252447217281603,0.24378180503845215,0.00033092498779296875
118,0.5645894362572051,5.5210843,2.783193680908473,-0.0033590568371993364,235.95439147509126,26.604147947512,235.36822509324125,10.252447217281603,0.2422795295715332,0.0003216266632080078
119,0.6111204623112525,4.9136696,2.8956126714238533,-0.003511206890060448,235.95239257369576,26.46036417998645,235.36822509324125,10.252447217281603,0.24921917915344238,0.0004172325134277344
120,0.6605556213204208,5.197207,3.010452312280693,-0.0026398426607839184,235.95040893115097,26.310955408916264,235.36822509324125,10.252447217281603,0.2333848476409912,0.0004239082336425781
121,0.7126038230477961,5.990932,3.126807389689324,-0.003338969914896499,235.94853210004197,26.155854866821752,235.36822509324125,10.252447217281603,0.2489001750946045,0.00036263465881347656
122,0.7511298241131239,5.2514477,3.2102182459814257,-0.004401437619644372,235.946655268933,25.995918994865082,235.36822509324125,10.252447217281603,0.2363593578338623,0.0003333091735839844
123,0.7801631017876993,5.963051,3.2716720123703165,0.010713891964860401,235.94471740281048,25.833110529771563,235.36822509324125,10.252447217281603,0.24916982650756836,0.00031757354736328125
124,0.8139520924580552,5.4602184,3.3417693978676204,0.0069977539462735576,235.9428100541299,25.66706706606508,235.36822509324125,10.252447217281603,0.2464466094970703,0.0003628730773925781
125,0.837632622972766,5.2867785,3.3900323873359013,0.009622275479192114,235.94100951701483,25.498074711666757,235.36822509324125,10.252447217281603,0.24959087371826172,0.0003445148468017578
126,0.8551923925160128,5.067167,3.425381675860326,0.01034094466343001,235.9380340531976,25.327596469187686,235.36822509324125,10.252447217281603,0.24170470237731934,0.0003108978271484375
127,0.8589502502466175,5.049594,3.4328992751584764,0.007321559933900477,235.9351348832446,25.156010004247786,235.36822509324125,10.252447217281603,0.2380979061126709,0.0003459453582763672
128,0.8182636835028084,5.224251,3.350608562285146,0.00843471523138892,235.93202209029022,24.987271323241426,235.36822509324125,10.252447217281603,0.24969077110290527,0.000308990478515625
129,0.7384340630547312,5.514785,3.1829727213896937,0.006958434349632825,235.92886352091352,24.82591628955124,235.36822509324125,10.252447217281603,0.2414417266845703,0.00030350685119628906
130,0.6342150850598175,7.545766,2.9498188024047676,0.007388513811876911,235.9260101273828,24.675651036186423,235.36822509324125,10.252447217281603,0.23899197578430176,0.0003268718719482422
131,0.5272396267467256,5.166315,2.689559011987853,0.00627576880005736,235.9232788041386,24.538236124324104,235.36822509324125,10.252447217281603,0.24426054954528809,0.00031113624572753906
132,0.44301779568200406,5.507611,2.4654014189898357,0.0070017382232893995,235.92079162146737,24.413028742159238,235.36822509324125,10.252447217281603,0.24166059494018555,0.0003254413604736328
133,0.4040678980263042,5.119585,2.3545300084987013,0.004828270525191176,235.91839599164078,24.295037158384837,235.36822509324125,10.252447217281603,0.24322748184204102,0.0003857612609863281
134,0.39802628802905954,4.8284025,2.336861286375102,0.003748622997405953,235.9160308793858,24.178611572909094,235.36822509324125,10.252447217281603,0.24680352210998535,0.0002968311309814453
135,0.4085529434348498,4.606458,2.367561273531509,0.0054202667364908,235.91360473185782,24.060846967558113,235.36822509324125,10.252447217281603,0.25495457649230957,0.00030350685119628906
